"Year","Turnover in million","Balance sheet profit in million","Price per share in US","Employees","Number of Subscriptions"
"2002","151","-21","","381",""
"2003","270","7","2.08","567",""
"2004","501","22","3.41","940",""
"2005","682","42","2.6","985","2.5"
"2006","997","49","3.69","1300","4"
"2007","1205","67","3.12","1542","7.3"
"2008","1365","83","4.09","1644","9.4"
"2009","1670","116","6.32","1883","11.9"
"2010","2163","161","16.82","2180","18.3"
"2011","3205","226","27.49","2348","21.6"
"2012","3609","17","11.86","2045","30.4"
"2013","4375","112","35.27","2022","41.4"
"2014","5505","267","57.5","2450","54.5"
"2015","6780","123","91.9","3700","70.8"
"2016","8831","187","102.03","4700","89.1"
"2017","11693","559","165.37","5500","117.5"



